trial_number,individual_reward,collective_reward,duration_seconds,state,learning_rate,gamma,n_units,epsilon_min,episode_length
86,10.519999999999996,15,89.275959,COMPLETE,1.3324098597201616e-06,0.8228771181405795,256,0.7436619417680915,49
87,7.289999999999997,13,64.713329,COMPLETE,1.3544128667996753e-06,0.844485445222416,128,0.789694517969287,42
88,7.149999999999999,12,57.075181,COMPLETE,3.912429130588148e-06,0.8340365706190408,256,0.7409699329599864,39
89,6.359999999999996,13,85.36701,COMPLETE,1.0036483920310228e-06,0.8671954675855316,256,0.9531261521297166,49
90,5.139999999999998,11,79.730686,COMPLETE,1.6347178020513035e-06,0.8481582117502008,256,0.6874574521980645,46
91,10.239999999999998,16,116.825882,COMPLETE,1.145794197975807e-05,0.8246734303808065,256,0.6640490449899605,56
92,8.169999999999998,15,115.333992,COMPLETE,2.83131059094877e-06,0.8380658732198761,256,0.6673709806379907,56
93,7.919999999999998,14,118.366101,COMPLETE,4.334823621033394e-05,0.8089923299987518,256,0.7479066424466906,58
94,9.399999999999997,16,106.684289,COMPLETE,2.1265745763196725e-05,0.8172362992903439,256,0.7156829843156959,55
95,2.4199999999999955,11,137.374296,COMPLETE,3.0110941213169467e-05,0.8000109580929778,256,0.793168829867071,65
96,7.439999999999998,14,106.948146,COMPLETE,0.00011870982669929057,0.8310535175732863,256,0.8533150632763556,55
97,11.409999999999998,17,94.350887,COMPLETE,1.9727408488059583e-05,0.8180640574337518,128,0.7190024614508498,59
98,5.509999999999996,12,87.08938,COMPLETE,2.324996797036847e-05,0.8175871397114558,128,0.711252891889664,59
99,8.509999999999996,15,119.093056,COMPLETE,1.713011803400603e-05,0.8140283220796471,128,0.7220671403845349,57
